,date,total,white,black,hipanic,asian,indian,unknown
1,1/1/2010,4112,2077,1614,230,178,6,7
2,4/1/2010,3906,1795,1721,254,131,2,3
3,7/1/2010,4644,2138,2025,273,196,6,6
4,10/1/2010,3903,1816,1626,221,226,2,12
5,1/1/2011,4604,2448,1632,243,271,0,10
6,4/1/2011,4006,1970,1653,184,190,4,5
7,7/1/2011,4332,2029,1841,217,239,0,6
8,10/1/2011,3794,1920,1367,219,271,3,14
9,1/1/2012,4143,2143,1513,175,300,4,8
10,4/1/2012,3041,1414,1186,200,225,3,13
11,7/1/2012,3644,1891,1287,190,268,3,5
12,10/1/2012,3187,1651,1101,171,242,9,13
13,1/1/2013,3437,1637,1297,212,284,5,2
14,4/1/2013,3348,1463,1477,186,210,5,7
15,7/1/2013,3539,1593,1456,202,281,3,4
16,10/1/2013,3241,1557,1244,188,245,5,2
17,1/1/2014,3087,1519,1150,197,207,7,7
18,4/1/2014,2923,1363,1157,193,200,2,8
19,7/1/2014,3005,1353,1196,191,254,1,10
20,10/1/2014,3044,1401,1149,171,305,1,17
21,1/1/2015,3391,1536,1334,225,283,5,8
22,4/1/2015,3342,1474,1448,162,244,2,12
23,7/1/2015,3852,1770,1602,198,265,4,13
24,10/1/2015,3122,1387,1303,188,230,2,12
25,1/1/2016,3102,1379,1322,148,243,2,8
26,4/1/2016,2794,1138,1281,171,190,2,12
27,7/1/2016,2766,1138,1279,151,181,3,14
28,10/1/2016,488,219,193,24,43,0,9
